matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-12-20,341354,Swansea ,16,678,2,9,8,6,84,0,9,72.7,4,0,33
2015-12-26,341365,Swansea ,16,513,2,3,0,10,79,1,13,55.5,1,1,33
2016-01-02,341381,Swansea ,16,430,4,3,2,10,78,1,13,45.3,1,1,61
2015-12-28,341368,Swansea ,16,373,3,0,4,16,75,0,11,46.4,1,2,61
2015-08-08,341192,Tottenham,17,487,4,2,2,12,80,0,12,50,2,3,100
2015-08-15,341204,Tottenham,17,500,7,2,4,15,81,2,11,53.2,3,2,37
2015-08-22,341210,Tottenham,17,523,6,9,7,14,84,1,7,65.2,0,4,27
2015-08-29,341226,Tottenham,17,440,6,8,6,20,85,0,9,49.9,3,4,31
2015-09-13,341233,Tottenham,17,411,4,6,8,12,80,1,11,56.1,0,1,30
2015-09-20,341246,Tottenham,17,436,6,6,6,9,82,1,11,57.1,3,1,67
2015-09-26,341253,Tottenham,17,407,8,3,5,17,71,4,5,46,5,5,67
2015-10-04,341266,Tottenham,17,483,11,4,6,19,84,2,8,54.4,0,4,21
2015-10-17,341274,Tottenham,17,407,4,4,8,15,75,0,11,48.5,2,1,36
2015-10-25,341279,Tottenham,17,490,9,2,5,15,82,5,8,54.2,5,1,22
2015-11-02,341294,Tottenham,17,530,6,4,4,6,82,3,13,61.3,3,0,43
2015-11-08,341297,Tottenham,17,383,4,7,6,17,75,1,12,45.1,3,1,44
2015-11-22,341314,Tottenham,17,484,12,5,7,13,81,4,9,55.8,3,2,41
2015-12-05,341336,Tottenham,17,559,3,2,6,10,82,1,13,64.6,1,2,42
2015-11-29,341325,Tottenham,17,497,4,2,4,14,79,0,9,57.7,2,4,42
2015-12-13,341345,Tottenham,17,477,8,7,6,13,76,1,13,58.3,2,2,29
2015-12-19,341352,Tottenham,17,383,5,4,7,9,73,2,17,49,2,1,29
2015-12-26,341366,Tottenham,17,533,10,3,9,4,80,3,13,59.8,3,1,24
2015-12-28,341374,Tottenham,17,525,3,7,3,13,78,2,11,62.5,1,2,32
2015-08-08,341190,Watford,18,286,5,3,2,13,70,2,7,33.4,1,2,37
2015-08-15,341205,Watford,18,498,5,8,2,13,84,0,10,63.9,0,1,27
2015-08-23,341214,Watford,18,431,0,6,5,10,73,0,11,52,4,0,39
2015-08-29,341221,Watford,18,458,0,2,3,12,86,0,9,41.3,1,2,39
2015-09-12,341234,Watford,18,330,6,7,1,11,72,1,13,39.2,0,1,15
2015-09-19,341242,Watford,18,381,4,6,5,12,72,2,7,42.4,1,2,20
2015-10-03,341259,Watford,18,421,2,5,3,13,73,1,8,45.6,1,1,27
2015-09-27,341254,Watford,18,386,2,9,6,17,75,0,22,55.3,0,4,27
2015-10-17,341275,Watford,18,306,1,6,3,11,74,0,12,33.3,1,2,52
2015-10-24,341284,Watford,18,269,3,5,5,18,70,2,10,33.8,0,1,30
2015-10-31,341295,Watford,18,400,5,6,7,16,76,2,11,50.6,3,3,22
2015-11-07,341300,Watford,18,556,4,4,2,10,74,1,11,58.7,1,1,21
2015-11-21,341315,Watford,18,385,5,2,4,6,64,1,12,43.6,1,1,73
2015-11-28,341317,Watford,18,263,6,2,10,13,60,3,6,34.9,0,3,33
2015-12-05,341335,Watford,18,385,7,4,4,11,67,2,9,50.4,4,3,18
2015-12-12,341344,Watford,18,464,8,2,3,9,73,1,6,51.4,2,0,19
2015-12-20,341355,Watford,18,268,5,0,7,6,54,3,9,35.1,1,1,100
2015-12-26,341359,Watford,18,329,3,4,4,15,74,2,6,37.6,1,4,100
2016-01-02,341384,Watford,18,407,3,6,4,6,71,1,9,48.1,0,1,85
2015-12-28,341374,Watford,18,312,1,4,5,11,60,1,13,37.5,2,4,85
2015-08-10,341196,W Brom,19,328,2,6,6,12,81,0,9,30.9,2,4,81
2015-08-15,341205,W Brom,19,285,0,5,4,10,68,0,11,36.1,0,2,81
2015-08-23,341215,W Brom,19,373,6,6,8,9,76,2,11,43.9,2,2,100
2015-08-29,341224,W Brom,19,456,5,6,5,9,87,1,4,50.9,3,4,100
2015-09-12,341235,W Brom,19,333,1,4,4,5,67,0,5,35.1,1,1,14
2015-09-19,341237,W Brom,19,303,6,1,7,11,73,1,10,40.2,1,3,18
2015-10-03,341261,W Brom,19,302,2,3,3,13,63,0,13,39.6,1,3,44
2015-09-28,341255,W Brom,19,398,4,4,6,9,73,2,7,46,3,0,44
2015-10-17,341276,W Brom,19,452,2,5,1,12,77,1,13,56.2,2,2,11
2015-10-24,341283,W Brom,19,316,4,3,3,6,62,1,11,39.4,0,2,13
2015-10-31,341296,W Brom,19,330,6,5,6,3,72,2,11,47.7,2,0,16
2015-11-07,341302,W Brom,19,304,0,3,2,10,62,0,11,32.3,0,3,48
2015-11-21,341316,W Brom,19,247,1,2,3,14,65,2,7,27,5,3,35
2015-12-05,341336,W Brom,19,286,4,3,3,13,67,1,10,35.4,2,3,25
2015-11-29,341326,W Brom,19,274,3,4,2,16,70,1,15,39.1,2,2,25
2015-12-13,341341,W Brom,19,270,2,2,4,10,63,2,7,29.6,1,0,58
2015-12-19,341356,W Brom,19,257,2,2,4,12,71,1,9,32.6,1,2,58
2015-12-26,341365,W Brom,19,386,3,3,7,13,73,0,10,44.5,2,3,17
2016-01-02,341385,W Brom,19,360,5,6,4,7,74,2,13,45.7,1,1,27
2015-12-28,341375,W Brom,19,343,5,5,18,7,76,1,12,51.7,2,0,27
2015-08-09,341187,West Ham,20,359,4,2,4,9,71,2,12,38.2,1,3,100
2015-08-15,341206,West Ham,20,553,3,3,8,11,85,1,12,69.8,1,1,100
2015-08-22,341216,West Ham,20,373,4,3,5,8,68,3,11,45.8,3,0,33
2015-08-29,341220,West Ham,20,326,5,4,7,12,73,3,15,37.3,1,2,51
2015-09-14,341236,West Ham,20,314,3,8,6,8,76,2,11,39.1,0,0,68
2015-09-19,341241,West Ham,20,279,3,3,3,7,68,2,10,28.5,2,2,68
2015-09-26,341256,West Ham,20,349,7,8,7,7,76,2,17,42.9,3,0,47
2015-10-03,341265,West Ham,20,440,6,9,8,11,83,2,14,55.9,2,4,24
2015-10-17,341268,West Ham,20,516,4,12,9,11,85,3,9,61.5,4,3,20
2015-10-24,341286,West Ham,20,370,5,4,7,10,76,2,12,45.5,4,1,54
2015-10-31,341295,West Ham,20,397,3,5,2,12,80,0,14,49.4,3,1,40
2015-11-07,341306,West Ham,20,435,5,8,3,11,87,1,12,50.8,2,1,27
2015-11-22,341314,West Ham,20,372,4,3,6,9,77,1,13,44.2,3,2,39
2015-11-29,341326,West Ham,20,435,6,8,5,15,79,1,16,60.9,0,0,49
2015-12-05,341330,West Ham,20,302,2,5,2,13,74,0,10,37.4,1,0,49
2015-12-12,341346,West Ham,20,335,10,6,11,7,74,0,9,46.7,1,1,29
2015-12-20,341354,West Ham,20,239,2,6,9,9,68,0,6,27.3,2,1,34
2015-12-26,341357,West Ham,20,309,4,4,6,13,72,1,12,40.9,1,3,34
2016-01-02,341386,West Ham,20,286,10,5,3,11,66,2,8,35.6,1,1,66
2015-12-28,341376,West Ham,20,408,5,7,4,6,74,2,12,49.1,1,1,66
