matchDate,matchId,team,teamNo,passes,shotsOnTarget,shotsOffTarget,corners,foulsConceded,accuratePasses,goals,foulsWon,possession,offSide,yellowCards,popularity
2015-11-07,341304,Chelsea,4,488,4,8,9,10,82,0,12,63.2,1,1,57
2015-11-21,341307,Chelsea,4,606,7,9,6,4,85,1,12,64.4,6,1,26
2015-12-05,341328,Chelsea,4,524,6,9,11,10,85,0,13,62.9,2,2,40
2015-11-29,341325,Chelsea,4,360,1,3,4,9,70,0,14,42.3,4,2,40
2015-12-14,341340,Chelsea,4,522,4,3,8,8,80,1,14,65.6,2,0,83
2015-12-19,341348,Chelsea,4,577,7,6,2,12,85,3,12,67.2,0,1,83
2015-12-26,341359,Chelsea,4,546,2,8,9,7,83,2,13,62.4,2,1,44
2015-12-28,341371,Chelsea,4,312,3,5,3,6,71,0,16,33.2,0,2,57
2015-08-08,341194,C Palace,5,272,7,2,4,20,74,3,14,37.1,2,0,44
2015-08-16,341198,C Palace,5,376,4,4,6,14,80,1,12,40.8,3,1,74
2015-08-22,341208,C Palace,5,357,6,7,6,12,79,2,14,49.9,4,3,74
2015-08-29,341219,C Palace,5,321,5,6,7,15,74,2,9,36.3,2,1,69
2015-09-12,341228,C Palace,5,359,2,6,4,13,76,0,13,42.2,5,2,45
2015-09-20,341246,C Palace,5,323,4,4,5,11,73,0,9,42.9,3,2,41
2015-10-03,341261,C Palace,5,443,8,7,8,14,80,2,13,60.4,3,3,46
2015-09-27,341254,C Palace,5,313,3,8,4,22,75,1,17,44.7,0,4,46
2015-10-17,341268,C Palace,5,326,1,3,1,9,72,1,10,38.5,2,1,22
2015-10-24,341280,C Palace,5,456,4,3,2,11,76,0,7,52.3,3,1,21
2015-10-31,341288,C Palace,5,355,5,3,7,12,76,0,14,44.6,0,3,78
2015-11-08,341301,C Palace,5,287,4,4,6,6,67,2,7,36.2,2,2,41
2015-11-23,341308,C Palace,5,452,7,8,11,18,82,0,11,66.6,1,1,45
2015-11-28,341319,C Palace,5,449,8,6,7,7,84,5,13,53.7,3,1,45
2015-12-12,341339,C Palace,5,296,5,3,8,11,64,1,12,43.8,3,0,53
2015-12-07,341329,C Palace,5,331,5,8,6,11,76,1,4,38,3,2,53
2015-12-19,341353,C Palace,5,342,3,7,3,12,70,2,6,41.6,1,0,26
2015-12-26,341358,C Palace,5,369,1,4,9,13,71,0,10,44.8,1,0,28
2015-12-28,341368,C Palace,5,407,2,6,7,11,74,0,15,53.6,4,3,40
2015-08-08,341190,Everton,6,558,5,3,8,7,81,2,13,66.6,4,1,63
2015-08-15,341201,Everton,6,393,4,2,9,10,80,3,11,45.6,2,2,51
2015-08-23,341209,Everton,6,408,1,5,8,5,82,0,7,45.7,3,0,100
2015-08-29,341226,Everton,6,443,3,4,2,9,83,0,19,50.1,1,1,100
2015-09-12,341229,Everton,6,351,9,5,7,12,82,3,12,38.8,0,2,82
2015-09-19,341245,Everton,6,454,2,7,4,11,80,0,12,52.1,1,2,45
2015-09-28,341255,Everton,6,470,4,5,4,8,80,3,9,54,2,3,58
2015-10-04,341262,Everton,6,388,4,2,5,10,77,1,19,50.9,1,3,72
2015-10-17,341269,Everton,6,458,3,6,5,12,81,0,14,47.2,0,2,71
2015-10-24,341277,Everton,6,404,5,3,5,14,80,1,11,43.8,2,0,76
2015-11-01,341289,Everton,6,687,8,5,6,6,90,6,5,67.4,3,3,50
2015-11-07,341306,Everton,6,427,4,6,5,12,85,1,8,49.2,1,2,50
2015-11-21,341309,Everton,6,608,9,4,2,6,88,4,9,59.9,1,0,27
2015-11-28,341318,Everton,6,407,6,1,5,6,76,3,6,42.7,0,0,33
2015-12-07,341329,Everton,6,526,4,8,13,4,83,1,11,62,0,1,60
2015-12-12,341343,Everton,6,572,3,10,4,6,83,1,9,58.6,1,0,60
2015-12-19,341349,Everton,6,538,5,5,10,6,77,2,13,67.4,2,2,47
2015-12-26,341362,Everton,6,517,7,5,7,12,88,1,16,59.1,3,2,52
2015-12-28,341369,Everton,6,481,3,6,6,10,85,3,10,51.3,2,2,58
2015-08-08,341191,Leicester,7,342,8,8,6,13,73,4,16,44,0,2,12
2015-08-15,341206,Leicester,7,242,5,3,4,12,65,2,11,30.2,1,3,14
2015-08-22,341210,Leicester,7,265,2,5,2,7,68,1,14,34.8,1,1,17
2015-08-29,341218,Leicester,7,336,2,2,4,19,66,1,9,43.9,1,4,11
2015-09-13,341230,Leicester,7,388,6,9,4,8,77,3,13,48.7,1,2,21
2015-09-19,341244,Leicester,7,371,5,6,4,12,71,2,6,45.9,1,4,21
2015-09-26,341247,Leicester,7,360,7,6,6,9,78,2,10,42,0,1,24
2015-10-03,341264,Leicester,7,254,5,8,8,4,60,2,4,33.8,1,1,13
2015-10-17,341272,Leicester,7,342,7,12,7,10,72,2,16,49.4,0,0,7
2015-10-24,341280,Leicester,7,426,3,5,3,7,77,1,9,47.7,2,3,9
2015-10-31,341296,Leicester,7,370,5,3,4,11,70,3,3,52.3,1,2,14
2015-11-07,341300,Leicester,7,376,6,4,4,11,70,2,9,41.3,4,0,15
